Questions,Answers
Do you worry about your weight?,Sometimes
Do you consider yourself to be overweight?,Yes
Do you have any specific dietary restrictions or preferences?,I am vegan
How often do you shop online?,Rarely
What is your preferred item to shop online for?,Other (dropdown)
How often do you shop for clothes or shoes in physical stores?,Weekly
In which general domain do you currently work?,Unemployed
Which general domain do you believe would be interesting for you to explore?,Retail
In what specific field of business do you currently work?,Other
How long have you been working in your current industry?,1-3 years
What is your household current annual income?,"$25,000 - $50,000"
Are the main contributor to your household income?,Yes
What is your favorite type of work environment?,A traditional office setting
What is more appealing to you when it comes to your every day occupation?,Work with my hands and create tangible things
Do you consider yourself to be a handyman?,"I am comfortable with some basic repairs and maintenance, but not confident in tackling more complex tasks"
Do you consider that you have a healthy sexuality?,I am not sure
In what specific ways do you struggle with your sexuality?,Difficulties with arousal or orgasm
In what specific ways do you struggle with your sexuality?,Difficulty with maintaining healthy and consensual sexual relationships
How do you cope with these struggles on a daily basis?,I use coping mechanisms such as alcohol or substance use
Do you feel like you have a good understanding of your own desires and boundaries when it comes to sexuality?,"No, I struggle with understanding my own desires and setting boundaries"
Have you ever experienced any form of sexual trauma or abuse that might be contributing to these struggles?,"No, I have not experienced sexual trauma or abuse"
Do you think you masturbate too often?,I do not masturbate
"Politically, where would you say you are?",Very left-wing
What is your stand on abortion?,I am pro-choice and believe that individuals have the right to make their own decisions about their bodies and reproductive health.
Do you believe in the divine? (God or any acting will above nature),"No, I do not believe in any higher power or will"
"You are in your car on the highway, suddenly, one of the tires bursts. You manage to pull on the side, what do you do next?	",Wait for someone else to stop and help
"Your significant other or your partner seems to be very sad today, what do you do?",Ignore it and hope it goes away
Which do you prefer?,A nice day in the sun by the pool or the beach
Which do you prefer?,A day at a gorgeous SPA in a Luxury hotel
Which do you prefer?,A nice car
"If you had to choose one, what are the most important quality a man should look for in a future wife?",Shared values and beliefs
"If you had to choose one, what are the most important quality a man should look for in a future wife?",Loyalty
Do you like to debate about controversial ideas?,"No, I prefer to avoid confrontational conversations"
Do you prefer temperature in Celsius or Farenheit?,Celsius
Do you prefer length in Metric system of imperial?,Metric
What is your height?,1m55
What is your weight?,75 kg
What is your shoe size?,46
What are your measurements?,I would rather not answer and skip to the next question
What is your bra size?,I would rather not answer and skip to the next question
Are you a little person?,Yes
Are you handicapped?,No
Are you hearing impaired?,No
Are you blind?,No
Are you nearsighted (myopic)?,Yes
Are you astigmatic?,Yes
Are you farsighted (hyperopic)?,No
Are you presbyopic (issue reading up close)?,Yes
Do you enjoy extreme sports?,"I'm not sure, I haven't tried extreme sports before"
How good are you at chess?,I don't play
Do you do some volunteer work? and if yes how often?,"No, I have never done any volunteer work"
Do you give money to charity and if yes what is your charity donation budget?,"No, I do not donate to charities"
What would you say is the most important thing in life?,Financial stability
Do you play any musical instrument?,"No, I am not interested in music"
What would you say is the most important thing in a marriage?,Physical intimacy and connection
What would you say is the best quality in a boss?,Clear communication and transparency
What would you say is the worst defect in a boss?,Lack of delegation and trust in employees
What is your worst fear in life?,Financial instability or bankruptcy
Do you have one best friend or many good friends without any one specifically outstanding?,I don't have too many friends
Did you sleep walk when your were a child/teenager?,"No, I never sleepwalked as a child/teenager"
Do you have nightmares?,"Yes, sometimes"
Do you remember your dreams when you wake up?,"No, I never remember my dreams"
"You just found a lamp, when you try to clean it, a Genie comes out and offers you 1 wish and one wish only. What do you ask?",Love and happiness
Do you believe in fate?,"Yes, I believe that everything happens for a reason and that our lives are predetermined."
Would you say that you are a good cook?,"No, I am not a good cook"
Do you believe in the ability of politics to truly have an impact for good on the life of the people?,"No, I do not believe politics can have a positive impact on people's lives"
Do you know any software programming language?,"No, I do not know any programming languages."
Would you be willing to learn?,"No, I am not interested in learning"
Do you have startup ideas (even bad ones)?,"No, I don't have any startup ideas"
Do you enjoy being in nature for a prolonged time (more than a 2 hours walk)?,"No, I do not enjoy being in nature for a prolonged time."
Do you enjoy being naked?,"No, I prefer to be covered and do not feel comfortable being naked"
What do you prefer?,"A nice evening by myself, watching a good movie with the snack of my choice"
Which is best?,A great penthouse in the heart of the city
"What subjects do you enjoy learning about or find most interesting, not necessarily related to work?",Arts and literature
"What are your long-term goals? Do you want to work your way up the corporate ladder, start your own business, excel at something? Something else?",I do not have any specific long term goal set for now
"What are your strengths and weaknesses in the workplace?	",Struggle with public speaking or presenting in front of others
"What are your strengths and weaknesses in the workplace?	",Difficulty with conflict resolution and handling difficult coworkers
What is your preferred work environment?,Independent
"Usually when you change jobs, it is because you quit or because you were let go?",I usually quit my jobs when I am looking for a new opportunity or because I am not satisfied with my current position.
"Do you want to work for an organization that shares your values, or do you feel that this is not important?",It is important to me that the organization shares my values
"Choosing only from the list below, what are your main values and beliefs?	",I value independence and personal freedom.
"Do you prefer working with people, data, things, animals, machines, or something else?",Machines
What type of work do you find most fulfilling or satisfying?,Work that is well-paying and allows me to live a comfortable lifestyle
Are you open to learning new skills or taking on new challenges in your career?,"No, I prefer to stick to what I already know and am comfortable with."
What work environment types do you thrive in?,"Structured, hierarchical workplace"
Do you prefer working with your hands or with your head?,Working with my hands
"Do you have any hobbies or interests that could potentially translate into a career?	","No, my hobbies and interests are purely for personal enjoyment and relaxation."
What are your main interests/hobbies?,"Hobbies related to a specific skill or activity (e.g. cooking, carpentry, programming)"
What skills do you feel you are strongest in?,Technical skills
Would you say you are more a:,Creative thinker
What motivates you most in your work?,Financial stability and security
